Author,Category,Gender,Quote
Patricia Highsmith,Literature,F,Perhaps it was freedom itself that choked her.
Sylvia Plath,Literature,F,"I took a deep breath and listened to the old brag of my heart: I am, I am, I am"
Margery Williams,Literature,F,"Generally, by the time you are Real, most of your hair has been loved off, and your eyes drop out and you get loose in the joints and very shabby. But these things don�t matter at all, because once you are Real you can�t be ugly, except to people who don�t understand."
Louisa May Alcott,Literature,F,"I am not afraid of storms, for I am learning how to sail my ship"
Daphne du Maurier,Literature,F,Last night I dreamt I went to Manderley again.
Jane Austen,Literature,F,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife"
�Margaret Mitchel,Literature,F,"Tomorrow I�ll think of some way to get him back. After all, tomorrow is another day"
�Jane Austen,Literature,F,"You pierce my soul. I am half agony. Half hope. Tell me not that I am too late, that such precious feelings are gone for ever"
�Donna Tartt,Literature,F,"I had the epiphany that laughter was light, and light was laughter, and that this was the secret of the universe"
�Willa Cather,Literature,F,"There are some things you learn best in calm, and some in storm."
�Betty Smith,Literature,F,"From that time on, the world was hers for the reading. She would never be lonely again, never miss the lack of intimate friends. Books became her friends and there was one for every mood"
Nicole Krauss,Literature,F,"Once upon a time there was a boy who loved a girl, and her laughter was a question he wanted to spend his whole life answering."
�Kate Chopin,Literature,F,"The voice of the sea is seductive, never ceasing, whispering, clamoring, murmuring, inviting the soul to wander in abysses of solitude"
�Jane Austen,Literature,F,"I wish, as well as everybody else, to be perfectly happy; but, like everybody else, it must be in my own way"
�Marilynne Robinson,Literature,F,Love is holy because it is like grace � the worthiness of its object is never really what matters.
Edith Wharton,Literature,F,Each time you happen to me all over again.
Angie Thomas,Literature,F,Brave doesn�t mean you�re not scared. It means you go on even though you�re scared
�Chimamanda Ngozi Adichie,Literature,F,"How easy it was to lie to strangers, to create with strangers the versions of our lives we imagined"
Madeleine L�Engle,Literature,F,"Life, with its rules, its obligations, and its freedoms, is like a sonnet: You�re given the form, but you have to write the sonnet yourself."
Alice Walker,Literature,F,"Time moves slowly, but passes quickly"
Amy Tan,Literature,F,Then you must teach my daughter this same lesson. How to lose your innocence but not your hope. How to laugh forever
�Suzanne Collins,Literature,F,And may the odds be ever in your favor.
Leo Tolstoy,literature,M,"In his Petersburg world, all people were divided into two completely opposite sorts. One was the inferior sort: the banal, stupid and, above all, ridiculous people who believed that one husband should live with one wife, whom he has married in a church, that a girl should be innocent, a woman modest, a man manly, temperate and firm, that one should raise children, earn one�s bread, pay one�s debts, and other such stupidities. This was an old-fashioned and ridiculous sort of people. But there was another sort of people, the real ones, to which they all belonged, and for whom one had, above all, to be elegant, handsome, magnanimous, bold, gay, to give oneself to every passion without blushing and laugh at everything else."
D. H. Lawrence,literature,M,I prefer unlucky things. Luck is vulgar. Who wants what luck would bring? I don�t.
Gustave Flaubert,literature,M,"Human speech is like a cracked kettle on which we tap crude rhythms for bears to dance to, while we long to make music that will melt the stars."
William Golding,literature,M,"They looked at each other, baffled, in love and hate."
Ernest Hemingway,literature,M,"I never liked to hunt, you know. There was always the danger of having a horse fall on you."
Lewis Carroll,literature,M,"�Begin at the beginning,� the King said gravely, �and go on till you come to the end: then stop.�"
Jane Austen,literature,F,I do suspect that he is not really necessary to my happiness.
Joseph Conrad,literature,M,"You can�t breathe dead hippo waking, sleeping, and eating, and at the same time keep your precarious grip on existence."
Sophocles,literature,M,"Time, which sees all things, has found you out."
Kate Chopin,literature,F,"They were women who idolized their children, worshiped their husbands, and esteemed it a holy privilege to efface themselves as individuals and grow wings as ministering angels."
J. D. Salinger,literature,M,"I don�t exactly know what I mean by that, but I mean it."
George Orwell,literature,M,"It was curious to think that the sky was the same for everybody, in Eurasia or Eastasia as well as here. And the people under the sky were also very much the same�everywhere, all over the world, hundreds or thousands of millions of people just like this, people ignorant of one another�s existence, held apart by walls of hatred and lies, and yet almost exactly the same�people who had never learned to think but who were storing up in their hearts and bellies and muscles the power that would one day overturn the world."
John Steinbeck,literature,M,Ever�body�s askin� that. �What we comin� to?� Seems to me we don�t never come to nothin�. Always on the way.
Kenneth Grahame,literature,M,"The Mole was a good listener, and Toad, with no one to check his statements or to criticize in an unfriendly spirit, rather let himself go. Indeed, much that he related belonged more properly to the category of what-might-have-happened-had-I-only-thought-of-it-in-time-instead-of-ten-minutes-afterwards."
J. R. R. Tolkien,literature,M,"It�s a dangerous business, Frodo, going out of your door."
Kurt Vonnegut,literature,M,"Like so many Americans, she was trying to construct a life that made sense from things she found in gift shops."
Mary Shelley,literature,F,"Beware; for I am fearless, and therefore powerful."
Toni Morrison,literature,M,"And they beat. The women for having known them and no more, no more; the children for having been them but never again. They killed a boss so often and so completely they had to bring him back to life to pulp him one more time. Tasting hot mealcake among pine trees, they beat it away. Singing love songs to Mr. Death, they smashed his head. More than the rest, they killed the flirt whom folks called Life for leading them on."
Dante Alighieri,literature,M,I saw within Its depth how It conceives
Virginia Woolf,literature,F,All things in a single volume bound by Love
Albert Camus,literature,M,of which the universe is the scattered leaves.
James Joyce,literature,M,"And again she felt alone in the presence of her old antagonist, life."
Jane Austen,literature,F,It was like knocking four quick times on the door of unhappiness.
Charlotte Bront�,literature,F,"A certain pride, a certain awe, withheld him from offering to God even one prayer at night, though he knew it was in God�s power to take away his life while he slept and hurl his soul hellward ere he could beg for mercy."
Franz Kafka,literature,M,"Laugh as much as you choose, but you will not laugh me out of my opinion."
Virginia Woolf,literature,F,"I ask you to pass through life at my side�to be my second self, and best earthly companion."
Geoffrey Chaucer,literature,M,It is an essential part of the justice dispensed here that you should be condemned not only in innocence but also in ignorance.
Jack London,literature,M,The world wavered and quivered and threatened to burst into flames.
Mark Twain,literature,M,"Who then may trust the dice, at Fortune�s throw?"
Zora Neale Hurston,literature,F,"When, on the still cold nights, he pointed his nose at a star and howled long and wolf-like, it was his ancestors, dead and dust, pointing nose at star and howling down through the centuries and through him. And his cadences were their cadences, the cadences which voiced their woe and what to them was the meaning of the stillness, and the cold, and dark."
F. Scott Fitzgerald,literature,M,"I was a-trembling, because I�d got to decide, forever, betwixt two things, and I knowed it."
Pierre Choderlos de Laclos,literature,M,There are years that ask questions and years that answer.
Charles Dickens,literature,M,"And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer."
William Shakespeare,literature,M,I assure you that the world is not so amusing as we imagined.
Aldous Huxley,literature,M,Ask no questions and you�ll be told no lies.
Nathaniel Hawthorne,literature,M,I will wear him
George Eliot,literature,M,"In my heart�s core, ay, in my heart of heart."
Emily Bront�,literature,F,"Lying in bed, he would think of Heaven and London."
William Faulkner,literature,M,"It is a curious subject of observation and inquiry, whether hatred and love be not the same thing at the bottom."
Edith Wharton,literature,F,"For years after Lydgate remembered the impression produced in him by this involuntary appeal�this cry from soul to soul, without other consciousness than their moving with kindred natures in the same embroiled medium, the same troublous fitfully-illuminated life."
Virgil,literature,M,"Whatever souls are made of, his and mine are the same."
William Makepeace Thackeray,literature,M,"The air brightened, the running shadow patches were now the obverse, and it seemed to him that the fact that the day was clearing was another cunning stroke on the part of the foe, the fresh battle toward which he was carrying ancient wounds."
Doris Lessing,literature,F,"�Do you know�I hardly remembered you?�
�Hardly remembered me?�
�I mean: how shall I explain? I�it�s always so.�Each time you happen to me all over again.�"
Ralph Ellison,literature,M,In his deepest heart there surge tremendous shame and madness mixed with sorrow and love whipped on by frenzy and a courage aware of its own worth.
Harper Lee,literature,M,"So, with their usual sense of justice, ladies argue that because a woman is handsome, therefore she is a fool. O ladies, ladies! there are some of you who are neither handsome nor wise."
Gabriel Garc�a M�rquez,literature,M,"I was filled with such a dangerous delicious intoxication that I could have walked straight off the steps into the air, climbing on the strength of my own drunkenness into the stars. And the intoxication, as I knew even then, was the recklessness of infinite possibility, of danger, the secret ugly frightening pulse of war itself, of the death that we all wanted, for each other and for ourselves."
Virgil,literature,M,"As I made my way home, I thought Jem and I would get grown but there wasn�t much else for us to learn, except possibly algebra."
Jane Austen,literature,F,Both of them remained floating in an empty universe where the only everyday and eternal reality was love.
Kurt Vonnegut,literature,M,"For now the seventh summer carries you,"
D. H. Lawrence,literature,M,"A wanderer, across the lands and waters."
Edith Wharton,literature,F,You are never to stir out of doors till you can prove that you have spent ten minutes of every day in a rational manner.
Doris Lessing,literature,F,"I have this disease late at night sometimes, involving alcohol and the telephone."
Jack Kerouac,literature,M,"Do come back and draw the ferrets, they are the most lovely noble darlings in the world."
Margaret Mitchell,literature,F,"Once more it was borne in on him that marriage was not the safe anchorage he had been taught to think, but an uncharted voyage on the seas."
Gabriel Garc�a M�rquez,literature,M,Time is the River on which the leaves of our thoughts are carried into oblivion.
Mark Twain,literature,M,"I told Terry I was leaving. She had been thinking about it all night and was resigned to it. Emotionlessly she kissed me in the vineyard and walked off down the row. We turned at a dozen paces, for love is a duel, and looked at each other for the last time."
George Eliot,literature,M,"Babies, babies, babies. Why did God make so many babies? But no, God didn�t make them. Stupid people made them."
Geoffrey Chaucer,literature,M,"Her heart of compressed ash, which had resisted the most telling blows of daily reality without strain, fell apart with the first waves of nostalgia."
Dante Alighieri,literature,M,"Jim said that bees won�t sting idiots, but I didn�t believe that, because I tried them lots of times myself and they wouldn�t sting me."
Alberto,,M,que duras son las APIs
Margarita Salas,,F,De joven era discriminada por ser mujer; hoy por ser mayor
